periode_data;tanggal;pm10;pm2.5;so2;co;o3;no2;max;critical;categori;stasiun
202112;03/12/2021;49;31;9;19;7;49;;PM2.5;BAIK;DKI1
202309;28/09/2023;163;287;29;17;29;19;287;PM2.5;SANGAT TIDAK SEHAT;DKI4
202309;26/09/2023;85;249;28;18;26;20;249;PM2.5;SANGAT TIDAK SEHAT;DKI4
202309;27/09/2023;0;217;28;22;23;22;217;PM2.5;SANGAT TIDAK SEHAT;DKI4
202402;14/02/2024;43;55;51;10;20;202;202;;SANGAT TIDAK SEHAT;DKI3
202310;01/10/2023;126;199;29;26;27;25;199;PM2.5;TIDAK SEHAT;DKI4
202402;13/02/2024;57;72;52;14;18;187;187;;TIDAK SEHAT;DKI3
202208;16/08/2022;61;89;51;15;181;33;181;O3;TIDAK SEHAT;DKI2
202112;07/12/2021;179;58;39;9;17;15;179;PM10;TIDAK SEHAT;DKI4
202107;15/07/2021;95;174;40;15;22;24;174;PM2.5;TIDAK SEHAT;DKI4
202305;24/05/2023;0;170;38;35;17;18;170;PM2.5;TIDAK SEHAT;DKI4
202201;05/01/2022;95;165;53;18;55;32;165;PM2,5;TIDAK SEHAT;DKI4
202204;10/04/2022;82;164;46;27;80;38;164;PM2,5;TIDAK SEHAT;DKI4
202107;04/07/2021;84;161;38;14;27;22;161;PM2.5;TIDAK SEHAT;DKI4
202203;31/03/2022;95;160;49;34;137;34;160;PM2,5;TIDAK SEHAT;DKI4
202110;15/10/2021;100;157;41;15;50;26;157;PM2.5;TIDAK SEHAT;DKI4
202107;09/07/2021;87;156;42;11;30;25;156;PM2.5;TIDAK SEHAT;DKI4
202107;30/07/2021;83;154;39;15;37;34;154;PM2.5;TIDAK SEHAT;DKI4
202212;20/12/2022;85;154;54;23;29;47;154;PM2,5;TIDAK SEHAT;DKI4
202212;20/12/2022;85;154;52;10;11;13;154;PM2.5;TIDAK SEHAT;DKI4
202107;05/07/2021;83;153;39;13;31;26;153;PM2.5;TIDAK SEHAT;DKI4
202309;12/09/2023;81;152;27;19;19;19;152;PM2.5;TIDAK SEHAT;DKI4
202105;07/05/2021;39;69;19;15;151;20;151;O3;TIDAK SEHAT;DKI3
202307;11/07/2023;0;151;40;29;14;18;151;PM2.5;TIDAK SEHAT;DKI4
202107;18/07/2021;75;150;37;12;32;22;150;PM2.5;TIDAK SEHAT;DKI4
202310;29/10/2023;94;150;30;20;25;16;150;PM2.5;TIDAK SEHAT;DKI4
202107;25/07/2021;81;148;38;22;28;24;148;PM2.5;TIDAK SEHAT;DKI4
202204;17/04/2022;76;148;52;21;93;24;148;PM2,5;TIDAK SEHAT;DKI4
202208;31/08/2022;85;148;51;25;74;37;148;PM2,5;TIDAK SEHAT;DKI4
202310;08/10/2023;97;148;29;21;21;16;148;PM2.5;TIDAK SEHAT;DKI4
202106;25/06/2021;82;147;39;18;20;24;147;PM2.5;TIDAK SEHAT;DKI4
202107;20/07/2021;80;147;38;13;26;21;147;PM2.5;TIDAK SEHAT;DKI4
202205;27/05/2022;79;146;52;25;76;35;146;PM2,5;TIDAK SEHAT;DKI4
202206;16/06/2022;79;146;46;32;50;45;146;PM2,5;TIDAK SEHAT;DKI4
202307;23/07/2023;0;146;27;23;22;13;146;PM2.5;TIDAK SEHAT;DKI4
202107;08/07/2021;74;145;40;10;29;25;145;PM2.5;TIDAK SEHAT;DKI4
202107;28/07/2021;73;145;39;14;24;27;145;PM2.5;TIDAK SEHAT;DKI4
202211;02/11/2022;84;144;51;14;54;34;144;PM2,5;TIDAK SEHAT;DKI4
202207;18/07/2022;75;143;48;30;84;36;143;PM2,5;TIDAK SEHAT;DKI4
202207;31/07/2022;80;143;49;17;115;27;143;PM2,5;TIDAK SEHAT;DKI4
202309;29/09/2023;129;143;29;21;24;23;143;PM2.5;TIDAK SEHAT;DKI4
202107;03/07/2021;72;141;37;13;25;20;141;PM2.5;TIDAK SEHAT;DKI4
202203;17/03/2022;77;141;40;23;77;28;141;PM2,5;TIDAK SEHAT;DKI4
202206;15/06/2022;80;141;45;25;44;43;141;PM2,5;TIDAK SEHAT;DKI4
202208;03/08/2022;82;141;51;19;129;24;141;PM2,5;TIDAK SEHAT;DKI4
202310;07/10/2023;97;141;29;33;23;28;141;PM2.5;TIDAK SEHAT;DKI4
202106;20/06/2021;74;140;36;22;20;26;140;PM2.5;TIDAK SEHAT;DKI4
202107;19/07/2021;74;140;36;11;32;21;140;PM2.5;TIDAK SEHAT;DKI4
202107;27/07/2021;71;140;40;12;24;26;140;PM2.5;TIDAK SEHAT;DKI4
202107;29/07/2021;78;140;32;18;29;39;140;PM2.5;TIDAK SEHAT;DKI5
202108;30/08/2021;76;140;41;16;30;31;140;PM2.5;TIDAK SEHAT;DKI4
202305;27/05/2023;0;139;38;23;22;12;139;PM2.5;TIDAK SEHAT;DKI4
202308;07/08/2023;0;139;25;31;28;18;139;PM2.5;TIDAK SEHAT;DKI4
202308;27/08/2023;0;139;27;23;29;18;139;PM2.5;TIDAK SEHAT;DKI4
202104;27/04/2021;75;138;38;11;27;13;138;PM2.5;TIDAK SEHAT;DKI4
202107;16/07/2021;71;138;37;11;24;29;138;PM2.5;TIDAK SEHAT;DKI4
202308;16/08/2023;0;138;27;24;29;15;138;PM2.5;TIDAK SEHAT;DKI4
202207;02/07/2022;81;137;47;18;106;29;137;PM2,5;TIDAK SEHAT;DKI4
202112;16/12/2021;78;136;41;14;32;18;136;PM2.5;TIDAK SEHAT;DKI4
202205;19/05/2022;75;136;43;28;64;46;136;PM2,5;TIDAK SEHAT;DKI4
202206;04/06/2022;78;136;44;26;92;51;136;PM2,5;TIDAK SEHAT;DKI4
202305;25/05/2023;0;136;38;29;20;17;136;PM2.5;TIDAK SEHAT;DKI4
202306;02/06/2023;0;136;38;25;21;12;136;PM2.5;TIDAK SEHAT;DKI4
202307;12/07/2023;0;136;40;29;20;15;136;PM2.5;TIDAK SEHAT;DKI4
202204;18/04/2022;73;135;40;13;88;14;135;PM2,5;TIDAK SEHAT;DKI4
202207;07/07/2022;94;135;46;29;74;44;135;PM2,5;TIDAK SEHAT;DKI3
202301;13/01/2023;0;135;55;15;28;15;135;PM2.5;TIDAK SEHAT;DKI4
202305;26/05/2023;0;135;39;28;22;24;135;PM2.5;TIDAK SEHAT;DKI4
202101;25/01/2021;62;86;14;26;134;14;134;O3;TIDAK SEHAT;DKI2
202106;27/06/2021;72;134;34;18;29;22;134;PM2.5;TIDAK SEHAT;DKI4
202107;17/07/2021;73;134;35;9;26;19;134;PM2.5;TIDAK SEHAT;DKI4
202108;22/08/2021;74;134;43;14;22;29;134;PM2.5;TIDAK SEHAT;DKI4
202309;05/09/2023;0;134;27;28;29;21;134;PM2.5;TIDAK SEHAT;DKI4
202306;13/06/2023;0;133;40;24;19;13;133;PM2.5;TIDAK SEHAT;DKI4
202310;23/10/2023;86;133;29;20;22;16;133;PM2.5;TIDAK SEHAT;DKI4
202107;04/07/2021;86;132;44;9;28;14;132;PM2.5;TIDAK SEHAT;DKI3
202107;10/07/2021;71;132;45;9;29;21;132;PM2.5;TIDAK SEHAT;DKI4
202207;28/07/2022;82;132;50;16;90;30;132;PM2,5;TIDAK SEHAT;DKI4
202107;25/07/2021;77;131;28;24;27;42;131;PM2.5;TIDAK SEHAT;DKI5
202107;26/07/2021;68;131;39;14;24;25;131;PM2.5;TIDAK SEHAT;DKI4
202110;14/10/2021;0;131;44;12;45;32;131;PM2.5;TIDAK SEHAT;DKI4
202206;20/06/2022;78;131;45;17;99;27;131;PM2,5;TIDAK SEHAT;DKI4
202206;25/06/2022;82;131;46;23;60;31;131;PM2,5;TIDAK SEHAT;DKI4
202211;26/11/2022;80;131;51;20;42;45;131;PM2,5;TIDAK SEHAT;DKI4
202107;07/07/2021;69;130;40;12;26;26;130;PM2.5;TIDAK SEHAT;DKI4
202107;28/07/2021;70;130;33;17;28;45;130;PM2.5;TIDAK SEHAT;DKI5
202107;29/07/2021;66;130;40;12;25;25;130;PM2.5;TIDAK SEHAT;DKI4
202110;26/10/2021;75;130;45;16;36;24;130;PM2.5;TIDAK SEHAT;DKI4
202206;17/06/2022;85;130;45;25;50;37;130;PM2,5;TIDAK SEHAT;DKI4
202208;27/08/2022;80;130;50;25;57;37;130;PM2,5;TIDAK SEHAT;DKI4
202209;01/09/2022;83;130;51;15;42;25;130;PM2,5;TIDAK SEHAT;DKI4
202307;19/07/2023;0;130;0;22;22;15;130;PM2.5;TIDAK SEHAT;DKI4
202106;25/06/2021;76;129;35;30;14;63;129;PM2.5;TIDAK SEHAT;DKI5
202107;04/07/2021;94;129;51;15;50;23;129;PM2.5;TIDAK SEHAT;DKI2
202107;15/07/2021;75;129;35;14;26;26;129;PM2.5;TIDAK SEHAT;DKI5
202201;30/01/2022;75;129;53;25;59;50;129;PM2,5;TIDAK SEHAT;DKI4
202207;06/07/2022;75;129;45;25;71;26;129;PM2,5;TIDAK SEHAT;DKI4
202307;27/07/2023;0;129;26;34;25;24;129;PM2.5;TIDAK SEHAT;DKI4
202307;28/07/2023;0;129;28;31;23;21;129;PM2.5;TIDAK SEHAT;DKI4
202307;30/07/2023;0;129;27;22;26;13;129;PM2.5;TIDAK SEHAT;DKI4
202310;17/10/2023;81;129;29;18;24;14;129;PM2.5;TIDAK SEHAT;DKI4
202106;29/06/2021;72;128;35;24;21;50;128;PM2.5;TIDAK SEHAT;DKI5
202204;22/04/2022;83;128;49;25;52;42;128;PM2,5;TIDAK SEHAT;DKI4
202205;17/05/2022;66;128;42;22;77;31;128;PM2,5;TIDAK SEHAT;DKI4
202205;20/05/2022;70;128;43;24;71;43;128;PM2,5;TIDAK SEHAT;DKI4
202210;01/10/2022;80;128;52;14;39;21;128;PM2,5;TIDAK SEHAT;DKI4
202305;30/05/2023;0;128;38;28;24;17;128;PM2.5;TIDAK SEHAT;DKI4
202308;13/08/2023;0;128;26;22;26;13;128;PM2.5;TIDAK SEHAT;DKI4
202403;28/03/2024;90;128;27;27;12;10;128;PM2.5;TIDAK SEHAT;DKI4
202106;25/06/2021;85;127;51;11;27;22;127;PM2.5;TIDAK SEHAT;DKI3
202110;02/10/2021;0;127;46;10;35;19;127;PM2.5;TIDAK SEHAT;DKI4
202308;19/08/2023;0;127;27;23;29;16;127;PM2.5;TIDAK SEHAT;DKI4
202101;23/01/2021;89;126;19;42;64;13;126;PM2.5;TIDAK SEHAT;DKI3
202102;01/02/2021;70;126;29;26;15;34;126;PM2.5;TIDAK SEHAT;DKI5
202107;04/07/2021;73;126;32;13;26;25;126;PM2.5;TIDAK SEHAT;DKI5
202107;15/07/2021;80;126;49;9;28;23;126;PM2.5;TIDAK SEHAT;DKI3
202108;30/08/2021;83;126;35;16;32;29;126;PM2.5;TIDAK SEHAT;DKI5
202110;17/10/2021;0;126;39;13;53;27;126;PM2.5;TIDAK SEHAT;DKI4
202203;27/03/2022;84;126;46;49;42;51;126;PM2,5;TIDAK SEHAT;DKI5
202205;01/05/2022;66;126;48;24;61;26;126;PM2,5;TIDAK SEHAT;DKI4
202205;15/05/2022;77;126;42;19;87;23;126;PM2,5;TIDAK SEHAT;DKI4
202207;03/07/2022;78;126;48;17;126;25;126;PM2,5;TIDAK SEHAT;DKI2
202210;11/10/2022;77;126;51;23;59;45;126;PM2,5;TIDAK SEHAT;DKI4
202305;29/05/2023;0;126;37;32;19;15;126;PM2.5;TIDAK SEHAT;DKI4
202308;12/08/2023;0;126;27;20;29;15;126;PM2.5;TIDAK SEHAT;DKI4
202309;11/09/2023;0;126;27;22;33;18;126;PM2.5;TIDAK SEHAT;DKI4
202103;18/03/2021;68;125;45;16;37;22;125;PM2.5;TIDAK SEHAT;DKI4
202106;30/06/2021;65;125;36;14;21;29;125;PM2.5;TIDAK SEHAT;DKI4
202207;14/07/2022;85;125;47;25;57;33;125;PM2,5;TIDAK SEHAT;DKI4
202307;22/07/2023;0;125;29;24;33;20;125;PM2.5;TIDAK SEHAT;DKI4
202404;05/04/2024;74;125;22;31;69;27;125;PM2.5;TIDAK SEHAT;DKI5
202106;29/06/2021;65;124;34;13;27;21;124;PM2.5;TIDAK SEHAT;DKI4
202107;03/07/2021;80;124;45;10;28;17;124;PM2.5;TIDAK SEHAT;DKI3
202107;28/07/2021;76;124;49;18;26;20;124;PM2.5;TIDAK SEHAT;DKI3
202112;15/12/2021;69;124;40;15;29;23;124;PM2.5;TIDAK SEHAT;DKI4
202207;20/07/2022;76;124;49;18;94;26;124;PM2,5;TIDAK SEHAT;DKI4
202307;26/07/2023;0;124;26;24;28;18;124;PM2.5;TIDAK SEHAT;DKI4
202311;04/11/2023;89;124;30;32;19;27;124;PM2.5;TIDAK SEHAT;DKI4
202103;17/03/2021;68;123;43;20;37;14;123;PM2.5;TIDAK SEHAT;DKI4
202106;20/06/2021;74;123;47;26;20;58;123;PM2.5;TIDAK SEHAT;DKI5
202107;16/07/2021;84;123;49;7;29;16;123;PM2.5;TIDAK SEHAT;DKI3
202108;28/08/2021;65;123;38;10;36;23;123;PM2.5;TIDAK SEHAT;DKI4
202205;23/05/2022;68;123;47;17;53;24;123;PM2,5;TIDAK SEHAT;DKI4
202206;22/06/2022;71;123;47;17;72;27;123;PM2,5;TIDAK SEHAT;DKI4
202206;24/06/2022;85;123;46;22;77;38;123;PM2,5;TIDAK SEHAT;DKI4
202207;12/07/2022;77;123;49;17;84;28;123;PM2,5;TIDAK SEHAT;DKI4
202207;29/07/2022;74;123;50;12;86;22;123;PM2,5;TIDAK SEHAT;DKI4
202305;10/05/2023;0;123;36;26;19;13;123;PM2.5;TIDAK SEHAT;DKI4
202308;22/08/2023;0;123;27;22;23;20;123;PM2.5;TIDAK SEHAT;DKI4
202310;05/10/2023;84;123;28;20;21;12;123;PM2.5;TIDAK SEHAT;DKI4
202310;12/10/2023;82;123;30;22;23;15;123;PM2.5;TIDAK SEHAT;DKI4
202107;19/07/2021;80;122;48;4;33;17;122;PM2.5;TIDAK SEHAT;DKI3
202108;29/08/2021;66;122;39;12;28;25;122;PM2.5;TIDAK SEHAT;DKI4
202110;16/10/2021;67;122;40;14;51;23;122;PM2.5;TIDAK SEHAT;DKI4
202203;25/03/2022;90;122;51;19;70;29;122;PM2,5;TIDAK SEHAT;DKI5
202308;15/08/2023;0;122;28;23;30;18;122;PM2.5;TIDAK SEHAT;DKI4
202310;01/10/2023;75;122;43;5;37;29;122;PM2.5;TIDAK SEHAT;DKI1
202310;02/10/2023;76;122;43;8;35;31;122;PM2.5;TIDAK SEHAT;DKI1
202310;09/10/2023;80;122;28;17;20;11;122;PM2.5;TIDAK SEHAT;DKI4
202310;16/10/2023;82;122;30;20;22;16;122;PM2.5;TIDAK SEHAT;DKI4
202310;18/10/2023;88;122;29;25;24;21;122;PM2.5;TIDAK SEHAT;DKI4
202310;28/10/2023;81;122;29;26;22;22;122;PM2.5;TIDAK SEHAT;DKI4
202403;23/03/2024;70;122;27;40;8;11;122;PM2.5;TIDAK SEHAT;DKI4
202107;18/07/2021;79;121;49;5;33;16;121;PM2.5;TIDAK SEHAT;DKI3
202107;30/07/2021;75;121;37;12;50;21;121;PM2.5;TIDAK SEHAT;DKI5
202112;27/12/2021;68;121;17;21;0;12;121;PM2.5;TIDAK SEHAT;DKI4
202205;25/05/2022;74;121;48;16;58;27;121;PM2,5;TIDAK SEHAT;DKI4
202207;22/07/2022;74;121;50;17;96;25;121;PM2,5;TIDAK SEHAT;DKI4
202306;15/06/2023;0;121;39;31;14;17;121;PM2.5;TIDAK SEHAT;DKI4
202309;07/09/2023;88;121;27;26;39;22;121;PM2.5;TIDAK SEHAT;DKI4
202310;10/10/2023;88;121;30;16;18;10;121;PM2.5;TIDAK SEHAT;DKI4
202310;13/10/2023;82;121;29;19;29;12;121;PM2.5;TIDAK SEHAT;DKI4
202106;27/06/2021;68;120;28;22;17;41;120;PM2.5;TIDAK SEHAT;DKI5
202107;09/07/2021;92;120;59;11;56;26;120;PM2.5;TIDAK SEHAT;DKI2
202109;05/09/2021;69;120;43;12;27;26;120;PM2.5;TIDAK SEHAT;DKI4
202110;22/10/2021;71;120;45;13;36;21;120;PM2.5;TIDAK SEHAT;DKI4
202201;29/01/2022;65;120;52;30;52;46;120;PM2,5;TIDAK SEHAT;DKI4
202307;13/07/2023;0;120;42;23;29;21;120;PM2.5;TIDAK SEHAT;DKI4
202310;02/10/2023;86;120;30;25;24;25;120;PM2.5;TIDAK SEHAT;DKI4
202311;18/11/2023;53;120;41;14;34;31;120;PM2.5;TIDAK SEHAT;DKI1
202404;02/04/2024;72;120;23;35;69;32;120;PM2.5;TIDAK SEHAT;DKI5
202106;24/06/2021;66;119;37;15;16;27;119;PM2.5;TIDAK SEHAT;DKI4
202107;09/07/2021;79;119;51;7;34;17;119;PM2.5;TIDAK SEHAT;DKI3
202107;11/07/2021;66;119;39;10;21;17;119;PM2.5;TIDAK SEHAT;DKI4
202107;13/07/2021;78;119;54;11;43;23;119;PM2.5;TIDAK SEHAT;DKI2
202107;13/07/2021;67;119;39;11;20;23;119;PM2.5;TIDAK SEHAT;DKI4
202108;19/08/2021;67;119;42;13;28;28;119;PM2.5;TIDAK SEHAT;DKI4
202109;22/09/2021;0;119;44;10;22;21;119;PM2.5;TIDAK SEHAT;DKI4
202201;31/01/2022;72;119;58;44;53;44;119;PM2,5;TIDAK SEHAT;DKI4
202202;15/02/2022;74;119;52;33;61;38;119;PM2,5;TIDAK SEHAT;DKI3
202203;30/03/2022;75;119;42;20;109;35;119;PM2,5;TIDAK SEHAT;DKI4
202204;16/04/2022;63;119;46;16;91;21;119;PM2,5;TIDAK SEHAT;DKI4
202206;23/06/2022;82;119;46;19;68;32;119;PM2,5;TIDAK SEHAT;DKI4
202208;07/08/2022;76;119;50;18;114;29;119;PM2,5;TIDAK SEHAT;DKI4
202208;24/08/2022;71;119;50;15;82;20;119;PM2,5;TIDAK SEHAT;DKI4
202208;26/08/2022;76;119;53;19;53;31;119;PM2,5;TIDAK SEHAT;DKI4
202305;20/05/2023;0;119;36;27;16;16;119;PM2.5;TIDAK SEHAT;DKI4
202306;22/06/2023;0;119;37;40;16;22;119;PM2.5;TIDAK SEHAT;DKI4
202307;05/07/2023;0;119;39;31;22;16;119;PM2.5;TIDAK SEHAT;DKI4
202308;11/08/2023;0;119;28;21;32;14;119;PM2.5;TIDAK SEHAT;DKI4
202103;21/03/2021;81;118;27;15;37;16;118;PM2.5;TIDAK SEHAT;DKI3
202104;17/04/2021;67;118;29;16;28;31;118;PM2.5;TIDAK SEHAT;DKI5
202105;24/05/2021;72;118;57;26;33;24;118;PM2.5;TIDAK SEHAT;DKI4
202106;26/06/2021;67;118;36;10;26;18;118;PM2.5;TIDAK SEHAT;DKI4
